time,Centraal Station,Vaartsche-Rijn-B,Vaartsche-Rijn-A,Galgenwaard-B,UMC-A,UMC-B,WKZ-B,Heidelberglaan-A,Heidelberglaan-B,Galgenwaard-A,Kromme-Rijn-A,Kromme-Rijn-B,Padualaan-A,Padualaan-B,P+R De Uithof,WKZ-A
15:00:00,3.428740943,1.124887899,0.1301961552,1.015404844,0,2.039271744,0.3101741008,0.1037661895,11.11510471,0.4734196668,0.2389926488,0.8909546886,0.05970729517,5.628361779,0.1033913669,0
15:15:00,4.014724124,0.7293129342,0.0954435406,1.045001217,0.002928330928,1.643692021,0.8581404451,0.05314547415,7.277840545,0.4512591621,0.07869764171,1.073315822,0.01904761905,6.066457004,0.286046815,0.002928330928
15:30:00,3.290743742,1.359649923,0.2074002736,2.322706389,0.003174603175,1.756999406,0.4417655739,0.02848214286,8.02847294,0.334243249,0.06519926325,0.6423438527,0.0209004129,6.179062797,0.1472551913,0.003174603175
15:45:00,3.019102168,1.258403648,0.1341317512,2.024206148,0.003174603175,2.017656719,0.8580181911,0.0490559474,7.48477998,0.3504723609,0.05830130445,0.4984258407,0.04110578241,6.507669687,0.2860060637,0.003174603175
16:00:00,2.809804507,1.142106285,0.07240014699,1.522721583,0,2.600846774,0.8660402823,0.04654496501,7.490830668,0.3539486866,0.03048005173,0.5655839253,0.03940031279,6.459784885,0.2886800941,0
16:15:00,3.643795433,1.576854766,0.06457281929,1.359009338,0,3.451048973,1.62114738,0.07483891823,8.8424126,0.3536681524,0.06575356213,0.5181719884,0.2971093254,6.414306003,0.5403824601,0
16:30:00,3.346600045,1.140539146,0.08327518808,1.559384744,0.003174603175,4.187112993,1.48763097,0.07356918254,9.342632453,0.5168781526,0.05056918345,0.5950136721,0.04741587512,5.275573659,0.4958769899,0.003174603175
16:45:00,2.724938277,1.086922148,0.08312564188,1.397316823,0.0126984127,3.719449082,1.025166078,0.07985318012,11.89536923,0.4203991826,0.04293863067,0.54586722,0.0324669723,6.787311629,0.341722026,0.0126984127
17:00:00,3.261995823,0.7681570542,0.1097643582,1.052695326,0,4.279284394,1.70256502,0.0853520401,11.97956107,0.3674965226,0.1155035103,0.655035053,0.08089373403,6.028279237,0.5675216735,0
17:15:00,3.915098607,0.6480208417,0.1810325996,1.004368378,0,2.379865314,1.047930227,0.0946936677,7.297603964,0.3959146113,0.09622538101,0.6519322142,0.09256042393,6.68842058,0.3493100756,0
17:30:00,2.982278374,1.122532415,0.07741099503,1.15896827,0,1.569551683,1.149561775,0.03106286538,7.416181821,0.3133493436,0.03368373886,0.4776760861,0.01094003768,6.074224217,0.3831872584,0
17:45:00,2.742249933,1.086306854,0.08387105895,1.112077386,0,1.276593222,0.2989765866,0.02854304504,4.930023665,0.2027668958,0.0244018501,0.2593695905,0.01666666667,4.169286026,0.09965886219,0
18:00:00,2.611315388,0.9724789835,0.06972815366,1.013628575,0,0.8113953545,0.2157521381,0.008530840844,3.226423602,0.2107456655,0.01262947934,0.2476546167,0.08409649615,3.156997946,0.07191737938,0
18:15:00,2.32011992,1.310088256,0.03616446683,0.6791281112,0,0.7083359641,0.1462872745,0.003412556942,2.726672354,0.1450978356,0.006427435255,0.2401195194,0.009759544884,3.44417563,0.04876242484,0
18:30:00,2.922891577,0.9014622521,0.04237091274,0.4450220776,0.001260084518,0.4492167068,0.09682384023,0,3.118049841,0.09479037366,0.008180473433,0.1540076582,0,1.793031688,0.03227461341,0.001260084518
18:45:00,1.713364402,0.5976404746,0.02891600303,0.2792602975,0,0.2795910914,0.04805570104,0.004408602151,1.938628433,0.08694728189,0.02453834962,0.110764871,0.02552399875,1.721198001,0.01601856701,0
